Team,Statistic,Value
Germany,Attacking - xG,8.64
Ghana,Attacking - xG,2.07
Haiti,Attacking - xG,1.62
IR Iran,Attacking - xG,4.57
Iraq,Attacking - xG,2.11
Japan,Attacking - xG,3.17
Jordan,Attacking - xG,1.87
Korea Republic,Attacking - xG,3.38
Mexico,Attacking - xG,4.22
Morocco,Attacking - xG,5.55
Netherlands,Attacking - xG,5.0
New Zealand,Attacking - xG,2.48
Norway,Attacking - xG,7.66
Panama,Attacking - xG,2.19
Paraguay,Attacking - xG,1.86
Portugal,Attacking - xG,3.57
Qatar,Attacking - xG,1.88
Saudi Arabia,Attacking - xG,1.52
Scotland,Attacking - xG,2.34
Senegal,Attacking - xG,5.14
South Africa,Attacking - xG,2.48
Spain,Attacking - xG,6.58
Sweden,Attacking - xG,4.66
Switzerland,Attacking - xG,6.67
Tunisia,Attacking - xG,1.12
Türkiye,Attacking - xG,5.5
USA,Attacking - xG,5.24
Uruguay,Attacking - xG,3.95
Uzbekistan,Attacking - xG,1.71
Algeria,Attacking - xG Efficiency,1.25
Argentina,Attacking - xG Efficiency,1.22
Australia,Attacking - xG Efficiency,1.0
Austria,Attacking - xG Efficiency,1.65
Belgium,Attacking - xG Efficiency,0.92
Bosnia and Herzegovina,Attacking - xG Efficiency,2.73
Brazil,Attacking - xG Efficiency,1.08
Cabo Verde,Attacking - xG Efficiency,0.98
Canada,Attacking - xG Efficiency,1.08
Colombia,Attacking - xG Efficiency,0.88
Congo DR,Attacking - xG Efficiency,1.3
Croatia,Attacking - xG Efficiency,2.23
Curaçao,Attacking - xG Efficiency,0.59
Czechia,Attacking - xG Efficiency,0.82
Côte d'Ivoire,Attacking - xG Efficiency,0.91
Ecuador,Attacking - xG Efficiency,0.37
Egypt,Attacking - xG Efficiency,1.33
England,Attacking - xG Efficiency,0.89
France,Attacking - xG Efficiency,1.65
Germany,Attacking - xG Efficiency,1.27
Ghana,Attacking - xG Efficiency,0.96
Haiti,Attacking - xG Efficiency,1.24
IR Iran,Attacking - xG Efficiency,0.66
Iraq,Attacking - xG Efficiency,0.47
Japan,Attacking - xG Efficiency,2.52
Jordan,Attacking - xG Efficiency,1.6
Korea Republic,Attacking - xG Efficiency,0.59
Mexico,Attacking - xG Efficiency,1.42
Morocco,Attacking - xG Efficiency,1.26
Netherlands,Attacking - xG Efficiency,2.2
New Zealand,Attacking - xG Efficiency,1.62
Norway,Attacking - xG Efficiency,1.31
Panama,Attacking - xG Efficiency,0.0
Paraguay,Attacking - xG Efficiency,1.61
Portugal,Attacking - xG Efficiency,1.68
Qatar,Attacking - xG Efficiency,1.06
Saudi Arabia,Attacking - xG Efficiency,0.66
Scotland,Attacking - xG Efficiency,0.43
Senegal,Attacking - xG Efficiency,1.56
South Africa,Attacking - xG Efficiency,0.8
Spain,Attacking - xG Efficiency,0.76
Sweden,Attacking - xG Efficiency,1.5
Switzerland,Attacking - xG Efficiency,1.05
Tunisia,Attacking - xG Efficiency,1.78
Türkiye,Attacking - xG Efficiency,0.55
USA,Attacking - xG Efficiency,1.53
Uruguay,Attacking - xG Efficiency,0.76
Uzbekistan,Attacking - xG Efficiency,1.17
Algeria,Distribution - Rank,6.0
Argentina,Distribution - Rank,9.0
Australia,Distribution - Rank,37.0
Austria,Distribution - Rank,27.0
Belgium,Distribution - Rank,19.0
Bosnia and Herzegovina,Distribution - Rank,35.0
Brazil,Distribution - Rank,3.0
Cabo Verde,Distribution - Rank,41.0
Canada,Distribution - Rank,16.0
Colombia,Distribution - Rank,20.0
Congo DR,Distribution - Rank,40.0
Croatia,Distribution - Rank,26.0
Curaçao,Distribution - Rank,46.0
Czechia,Distribution - Rank,38.0
Côte d'Ivoire,Distribution - Rank,8.0
Ecuador,Distribution - Rank,24.0
Egypt,Distribution - Rank,25.0
England,Distribution - Rank,17.0
France,Distribution - Rank,4.0
Germany,Distribution - Rank,1.0
Ghana,Distribution - Rank,45.0
Haiti,Distribution - Rank,39.0
IR Iran,Distribution - Rank,43.0
Iraq,Distribution - Rank,36.0
Japan,Distribution - Rank,15.0
Jordan,Distribution - Rank,47.0
Korea Republic,Distribution - Rank,12.0
Mexico,Distribution - Rank,30.0
Morocco,Distribution - Rank,2.0
Netherlands,Distribution - Rank,7.0
New Zealand,Distribution - Rank,31.0
Norway,Distribution - Rank,13.0
Panama,Distribution - Rank,32.0
Paraguay,Distribution - Rank,34.0
Portugal,Distribution - Rank,10.0
Qatar,Distribution - Rank,48.0
Saudi Arabia,Distribution - Rank,33.0
Scotland,Distribution - Rank,29.0
Senegal,Distribution - Rank,22.0
South Africa,Distribution - Rank,11.0
Spain,Distribution - Rank,5.0
Sweden,Distribution - Rank,23.0
Switzerland,Distribution - Rank,18.0
Tunisia,Distribution - Rank,44.0
Türkiye,Distribution - Rank,14.0
USA,Distribution - Rank,21.0
Uruguay,Distribution - Rank,28.0
Uzbekistan,Distribution - Rank,42.0
Algeria,Distribution - Crosses,32.0
Argentina,Distribution - Crosses,21.0
Australia,Distribution - Crosses,47.0
Austria,Distribution - Crosses,48.0
Belgium,Distribution - Crosses,75.0
Bosnia and Herzegovina,Distribution - Crosses,47.0
Brazil,Distribution - Crosses,73.0
Cabo Verde,Distribution - Crosses,32.0
Canada,Distribution - Crosses,131.0
Colombia,Distribution - Crosses,48.0
Congo DR,Distribution - Crosses,48.0
Croatia,Distribution - Crosses,45.0
Curaçao,Distribution - Crosses,21.0
Czechia,Distribution - Crosses,50.0
Côte d'Ivoire,Distribution - Crosses,78.0
Ecuador,Distribution - Crosses,61.0
Egypt,Distribution - Crosses,53.0
England,Distribution - Crosses,76.0
France,Distribution - Crosses,66.0
Germany,Distribution - Crosses,108.0
Ghana,Distribution - Crosses,33.0
Haiti,Distribution - Crosses,42.0
IR Iran,Distribution - Crosses,40.0
Iraq,Distribution - Crosses,24.0
Japan,Distribution - Crosses,62.0
Jordan,Distribution - Crosses,31.0
Korea Republic,Distribution - Crosses,64.0
Mexico,Distribution - Crosses,32.0
Morocco,Distribution - Crosses,77.0
Netherlands,Distribution - Crosses,79.0
New Zealand,Distribution - Crosses,37.0
Norway,Distribution - Crosses,52.0
Panama,Distribution - Crosses,58.0
Paraguay,Distribution - Crosses,41.0
Portugal,Distribution - Crosses,61.0
Qatar,Distribution - Crosses,28.0
Saudi Arabia,Distribution - Crosses,22.0
Scotland,Distribution - Crosses,53.0
Senegal,Distribution - Crosses,63.0
South Africa,Distribution - Crosses,36.0
Spain,Distribution - Crosses,82.0
Sweden,Distribution - Crosses,62.0
Switzerland,Distribution - Crosses,66.0
Tunisia,Distribution - Crosses,35.0
Türkiye,Distribution - Crosses,84.0
USA,Distribution - Crosses,58.0
Uruguay,Distribution - Crosses,87.0
Uzbekistan,Distribution - Crosses,34.0
Algeria,Distribution - Crossing Accuracy (%),16.0
Argentina,Distribution - Crossing Accuracy (%),33.0
Australia,Distribution - Crossing Accuracy (%),28.0
Austria,Distribution - Crossing Accuracy (%),21.0
Belgium,Distribution - Crossing Accuracy (%),28.0
Bosnia and Herzegovina,Distribution - Crossing Accuracy (%),19.0
Brazil,Distribution - Crossing Accuracy (%),29.0
Cabo Verde,Distribution - Crossing Accuracy (%),28.0
Canada,Distribution - Crossing Accuracy (%),25.0
Colombia,Distribution - Crossing Accuracy (%),29.0
Congo DR,Distribution - Crossing Accuracy (%),25.0
Croatia,Distribution - Crossing Accuracy (%),18.0
Curaçao,Distribution - Crossing Accuracy (%),29.0
Czechia,Distribution - Crossing Accuracy (%),32.0
Côte d'Ivoire,Distribution - Crossing Accuracy (%),24.0
Ecuador,Distribution - Crossing Accuracy (%),31.0
Egypt,Distribution - Crossing Accuracy (%),23.0
England,Distribution - Crossing Accuracy (%),28.0
France,Distribution - Crossing Accuracy (%),17.0
Germany,Distribution - Crossing Accuracy (%),22.0
Ghana,Distribution - Crossing Accuracy (%),24.0
Haiti,Distribution - Crossing Accuracy (%),24.0
IR Iran,Distribution - Crossing Accuracy (%),23.0
Iraq,Distribution - Crossing Accuracy (%),29.0
Japan,Distribution - Crossing Accuracy (%),26.0
Jordan,Distribution - Crossing Accuracy (%),32.0
Korea Republic,Distribution - Crossing Accuracy (%),28.0
Mexico,Distribution - Crossing Accuracy (%),25.0
Morocco,Distribution - Crossing Accuracy (%),27.0
Netherlands,Distribution - Crossing Accuracy (%),27.0
New Zealand,Distribution - Crossing Accuracy (%),19.0
Norway,Distribution - Crossing Accuracy (%),37.0
Panama,Distribution - Crossing Accuracy (%),21.0
Paraguay,Distribution - Crossing Accuracy (%),20.0
Portugal,Distribution - Crossing Accuracy (%),25.0
Qatar,Distribution - Crossing Accuracy (%),36.0
Saudi Arabia,Distribution - Crossing Accuracy (%),23.0
Scotland,Distribution - Crossing Accuracy (%),34.0
Senegal,Distribution - Crossing Accuracy (%),29.0
South Africa,Distribution - Crossing Accuracy (%),17.0
Spain,Distribution - Crossing Accuracy (%),22.0
Sweden,Distribution - Crossing Accuracy (%),19.0
Switzerland,Distribution - Crossing Accuracy (%),14.0
Tunisia,Distribution - Crossing Accuracy (%),23.0
Türkiye,Distribution - Crossing Accuracy (%),14.0
USA,Distribution - Crossing Accuracy (%),28.0
Uruguay,Distribution - Crossing Accuracy (%),21.0
Uzbekistan,Distribution - Crossing Accuracy (%),18.0
Algeria,Distribution - Defensive Linebreaks Acc (%),58.0
Argentina,Distribution - Defensive Linebreaks Acc (%),54.0
Australia,Distribution - Defensive Linebreaks Acc (%),50.0
Austria,Distribution - Defensive Linebreaks Acc (%),62.0
Belgium,Distribution - Defensive Linebreaks Acc (%),57.0
Bosnia and Herzegovina,Distribution - Defensive Linebreaks Acc (%),41.0
Brazil,Distribution - Defensive Linebreaks Acc (%),57.0
Cabo Verde,Distribution - Defensive Linebreaks Acc (%),34.0
Canada,Distribution - Defensive Linebreaks Acc (%),56.0
Colombia,Distribution - Defensive Linebreaks Acc (%),45.0
Congo DR,Distribution - Defensive Linebreaks Acc (%),31.0
Croatia,Distribution - Defensive Linebreaks Acc (%),52.0
Curaçao,Distribution - Defensive Linebreaks Acc (%),40.0
Czechia,Distribution - Defensive Linebreaks Acc (%),38.0
Côte d'Ivoire,Distribution - Defensive Linebreaks Acc (%),53.0
Ecuador,Distribution - Defensive Linebreaks Acc (%),46.0
Egypt,Distribution - Defensive Linebreaks Acc (%),49.0
England,Distribution - Defensive Linebreaks Acc (%),68.0
France,Distribution - Defensive Linebreaks Acc (%),68.0
Germany,Distribution - Defensive Linebreaks Acc (%),56.0
Ghana,Distribution - Defensive Linebreaks Acc (%),51.0
Haiti,Distribution - Defensive Linebreaks Acc (%),40.0
IR Iran,Distribution - Defensive Linebreaks Acc (%),46.0
Iraq,Distribution - Defensive Linebreaks Acc (%),44.0
Japan,Distribution - Defensive Linebreaks Acc (%),47.0
Jordan,Distribution - Defensive Linebreaks Acc (%),52.0
Korea Republic,Distribution - Defensive Linebreaks Acc (%),60.0
Mexico,Distribution - Defensive Linebreaks Acc (%),37.0
Morocco,Distribution - Defensive Linebreaks Acc (%),53.0
Netherlands,Distribution - Defensive Linebreaks Acc (%),60.0
New Zealand,Distribution - Defensive Linebreaks Acc (%),22.0
Norway,Distribution - Defensive Linebreaks Acc (%),43.0
Panama,Distribution - Defensive Linebreaks Acc (%),43.0
Paraguay,Distribution - Defensive Linebreaks Acc (%),27.0
Portugal,Distribution - Defensive Linebreaks Acc (%),60.0
Qatar,Distribution - Defensive Linebreaks Acc (%),27.0
Saudi Arabia,Distribution - Defensive Linebreaks Acc (%),40.0
Scotland,Distribution - Defensive Linebreaks Acc (%),40.0
Senegal,Distribution - Defensive Linebreaks Acc (%),58.0
South Africa,Distribution - Defensive Linebreaks Acc (%),41.0
Spain,Distribution - Defensive Linebreaks Acc (%),72.0
Sweden,Distribution - Defensive Linebreaks Acc (%),45.0
Switzerland,Distribution - Defensive Linebreaks Acc (%),54.0
Tunisia,Distribution - Defensive Linebreaks Acc (%),38.0
Türkiye,Distribution - Defensive Linebreaks Acc (%),60.0
USA,Distribution - Defensive Linebreaks Acc (%),63.0
Uruguay,Distribution - Defensive Linebreaks Acc (%),64.0
Uzbekistan,Distribution - Defensive Linebreaks Acc (%),27.0
Algeria,Distribution - Defensive Linebreaks Attempted,57.0
Argentina,Distribution - Defensive Linebreaks Attempted,41.0
Australia,Distribution - Defensive Linebreaks Attempted,50.0
Austria,Distribution - Defensive Linebreaks Attempted,60.0
Belgium,Distribution - Defensive Linebreaks Attempted,76.0
Bosnia and Herzegovina,Distribution - Defensive Linebreaks Attempted,44.0
Brazil,Distribution - Defensive Linebreaks Attempted,82.0
Cabo Verde,Distribution - Defensive Linebreaks Attempted,44.0
Canada,Distribution - Defensive Linebreaks Attempted,94.0
Colombia,Distribution - Defensive Linebreaks Attempted,58.0
Congo DR,Distribution - Defensive Linebreaks Attempted,51.0
Croatia,Distribution - Defensive Linebreaks Attempted,61.0
Curaçao,Distribution - Defensive Linebreaks Attempted,40.0
Czechia,Distribution - Defensive Linebreaks Attempted,45.0
Côte d'Ivoire,Distribution - Defensive Linebreaks Attempted,85.0
Ecuador,Distribution - Defensive Linebreaks Attempted,74.0
Egypt,Distribution - Defensive Linebreaks Attempted,72.0
England,Distribution - Defensive Linebreaks Attempted,84.0
France,Distribution - Defensive Linebreaks Attempted,102.0
Germany,Distribution - Defensive Linebreaks Attempted,81.0
Ghana,Distribution - Defensive Linebreaks Attempted,45.0
Haiti,Distribution - Defensive Linebreaks Attempted,42.0
IR Iran,Distribution - Defensive Linebreaks Attempted,50.0
Iraq,Distribution - Defensive Linebreaks Attempted,48.0
Japan,Distribution - Defensive Linebreaks Attempted,74.0
Jordan,Distribution - Defensive Linebreaks Attempted,52.0
Korea Republic,Distribution - Defensive Linebreaks Attempted,65.0
Mexico,Distribution - Defensive Linebreaks Attempted,52.0
Morocco,Distribution - Defensive Linebreaks Attempted,79.0
Netherlands,Distribution - Defensive Linebreaks Attempted,78.0
New Zealand,Distribution - Defensive Linebreaks Attempted,54.0
Norway,Distribution - Defensive Linebreaks Attempted,70.0
Panama,Distribution - Defensive Linebreaks Attempted,54.0
Paraguay,Distribution - Defensive Linebreaks Attempted,55.0
Portugal,Distribution - Defensive Linebreaks Attempted,82.0
Qatar,Distribution - Defensive Linebreaks Attempted,71.0
Saudi Arabia,Distribution - Defensive Linebreaks Attempted,53.0
Scotland,Distribution - Defensive Linebreaks Attempted,45.0
Senegal,Distribution - Defensive Linebreaks Attempted,69.0
South Africa,Distribution - Defensive Linebreaks Attempted,63.0
Spain,Distribution - Defensive Linebreaks Attempted,78.0
Sweden,Distribution - Defensive Linebreaks Attempted,75.0
Switzerland,Distribution - Defensive Linebreaks Attempted,76.0
Tunisia,Distribution - Defensive Linebreaks Attempted,40.0
Türkiye,Distribution - Defensive Linebreaks Attempted,75.0
USA,Distribution - Defensive Linebreaks Attempted,89.0
Uruguay,Distribution - Defensive Linebreaks Attempted,74.0
Uzbekistan,Distribution - Defensive Linebreaks Attempted,51.0
Algeria,Distribution - Passes,2070.0
Argentina,Distribution - Passes,1966.0
Australia,Distribution - Passes,1127.0
Austria,Distribution - Passes,1467.0
Belgium,Distribution - Passes,1643.0
Bosnia and Herzegovina,Distribution - Passes,1159.0
Brazil,Distribution - Passes,2395.0
Cabo Verde,Distribution - Passes,1064.0
Canada,Distribution - Passes,1730.0
Colombia,Distribution - Passes,1629.0
Congo DR,Distribution - Passes,1078.0
Croatia,Distribution - Passes,1515.0
Curaçao,Distribution - Passes,968.0
Czechia,Distribution - Passes,1102.0
Côte d'Ivoire,Distribution - Passes,1970.0
Ecuador,Distribution - Passes,1565.0
Egypt,Distribution - Passes,1543.0
England,Distribution - Passes,1696.0
France,Distribution - Passes,2285.0
Germany,Distribution - Passes,2721.0
Ghana,Distribution - Passes,1007.0
Haiti,Distribution - Passes,1098.0
IR Iran,Distribution - Passes,1051.0
Iraq,Distribution - Passes,1129.0
Japan,Distribution - Passes,1733.0
Jordan,Distribution - Passes,914.0
Korea Republic,Distribution - Passes,1853.0
Mexico,Distribution - Passes,1373.0
Morocco,Distribution - Passes,2627.0
Netherlands,Distribution - Passes,2039.0
New Zealand,Distribution - Passes,1335.0
Norway,Distribution - Passes,1849.0
Panama,Distribution - Passes,1259.0
Paraguay,Distribution - Passes,1169.0
Portugal,Distribution - Passes,1899.0
Qatar,Distribution - Passes,912.0
Saudi Arabia,Distribution - Passes,1175.0
Scotland,Distribution - Passes,1377.0
Senegal,Distribution - Passes,1610.0
South Africa,Distribution - Passes,1855.0
Spain,Distribution - Passes,2191.0
Sweden,Distribution - Passes,1569.0
Switzerland,Distribution - Passes,1663.0
Tunisia,Distribution - Passes,1011.0
Türkiye,Distribution - Passes,1844.0
USA,Distribution - Passes,1628.0
Uruguay,Distribution - Passes,1445.0
Uzbekistan,Distribution - Passes,1059.0
Algeria,Distribution - Passing Accuracy (%),91.0
Argentina,Distribution - Passing Accuracy (%),91.0
Australia,Distribution - Passing Accuracy (%),81.0
Austria,Distribution - Passing Accuracy (%),87.0
Belgium,Distribution - Passing Accuracy (%),88.0
Bosnia and Herzegovina,Distribution - Passing Accuracy (%),81.0
Brazil,Distribution - Passing Accuracy (%),90.0
Cabo Verde,Distribution - Passing Accuracy (%),80.0
Canada,Distribution - Passing Accuracy (%),83.0
Colombia,Distribution - Passing Accuracy (%),88.0
Congo DR,Distribution - Passing Accuracy (%),81.0
Croatia,Distribution - Passing Accuracy (%),88.0
Curaçao,Distribution - Passing Accuracy (%),80.0
Czechia,Distribution - Passing Accuracy (%),79.0
Côte d'Ivoire,Distribution - Passing Accuracy (%),88.0
Ecuador,Distribution - Passing Accuracy (%),87.0
Egypt,Distribution - Passing Accuracy (%),87.0
England,Distribution - Passing Accuracy (%),90.0
France,Distribution - Passing Accuracy (%),90.0
Germany,Distribution - Passing Accuracy (%),90.0
Ghana,Distribution - Passing Accuracy (%),84.0
Haiti,Distribution - Passing Accuracy (%),85.0
IR Iran,Distribution - Passing Accuracy (%),77.0
Iraq,Distribution - Passing Accuracy (%),81.0
Japan,Distribution - Passing Accuracy (%),86.0
Jordan,Distribution - Passing Accuracy (%),76.0
Korea Republic,Distribution - Passing Accuracy (%),89.0
Mexico,Distribution - Passing Accuracy (%),87.0
Morocco,Distribution - Passing Accuracy (%),89.0
Netherlands,Distribution - Passing Accuracy (%),88.0
New Zealand,Distribution - Passing Accuracy (%),83.0
Norway,Distribution - Passing Accuracy (%),86.0
Panama,Distribution - Passing Accuracy (%),83.0
Paraguay,Distribution - Passing Accuracy (%),72.0
Portugal,Distribution - Passing Accuracy (%),92.0
Qatar,Distribution - Passing Accuracy (%),78.0
Saudi Arabia,Distribution - Passing Accuracy (%),78.0
Scotland,Distribution - Passing Accuracy (%),87.0
Senegal,Distribution - Passing Accuracy (%),88.0
South Africa,Distribution - Passing Accuracy (%),85.0
Spain,Distribution - Passing Accuracy (%),92.0
Sweden,Distribution - Passing Accuracy (%),82.0
Switzerland,Distribution - Passing Accuracy (%),88.0
Tunisia,Distribution - Passing Accuracy (%),80.0
Türkiye,Distribution - Passing Accuracy (%),87.0
USA,Distribution - Passing Accuracy (%),87.0
Uruguay,Distribution - Passing Accuracy (%),87.0
Uzbekistan,Distribution - Passing Accuracy (%),78.0
Algeria,Distribution - Switches of Play Acc (%),95.0
Argentina,Distribution - Switches of Play Acc (%),85.0
Australia,Distribution - Switches of Play Acc (%),56.0
Austria,Distribution - Switches of Play Acc (%),100.0
Belgium,Distribution - Switches of Play Acc (%),79.0
Bosnia and Herzegovina,Distribution - Switches of Play Acc (%),80.0
Brazil,Distribution - Switches of Play Acc (%),94.0
Cabo Verde,Distribution - Switches of Play Acc (%),65.0
Canada,Distribution - Switches of Play Acc (%),81.0
Colombia,Distribution - Switches of Play Acc (%),91.0
Congo DR,Distribution - Switches of Play Acc (%),79.0
Croatia,Distribution - Switches of Play Acc (%),76.0
Curaçao,Distribution - Switches of Play Acc (%),100.0
Czechia,Distribution - Switches of Play Acc (%),75.0
Côte d'Ivoire,Distribution - Switches of Play Acc (%),92.0
Ecuador,Distribution - Switches of Play Acc (%),83.0
Egypt,Distribution - Switches of Play Acc (%),96.0
England,Distribution - Switches of Play Acc (%),75.0
France,Distribution - Switches of Play Acc (%),96.0
Germany,Distribution - Switches of Play Acc (%),71.0
Ghana,Distribution - Switches of Play Acc (%),88.0
Haiti,Distribution - Switches of Play Acc (%),100.0
IR Iran,Distribution - Switches of Play Acc (%),79.0
Iraq,Distribution - Switches of Play Acc (%),79.0
Japan,Distribution - Switches of Play Acc (%),67.0
Jordan,Distribution - Switches of Play Acc (%),73.0
Korea Republic,Distribution - Switches of Play Acc (%),86.0
Mexico,Distribution - Switches of Play Acc (%),87.0
Morocco,Distribution - Switches of Play Acc (%),81.0
Netherlands,Distribution - Switches of Play Acc (%),82.0
New Zealand,Distribution - Switches of Play Acc (%),75.0
Norway,Distribution - Switches of Play Acc (%),71.0
Panama,Distribution - Switches of Play Acc (%),70.0
Paraguay,Distribution - Switches of Play Acc (%),80.0
Portugal,Distribution - Switches of Play Acc (%),84.0
Qatar,Distribution - Switches of Play Acc (%),91.0
Saudi Arabia,Distribution - Switches of Play Acc (%),67.0
Scotland,Distribution - Switches of Play Acc (%),71.0
Senegal,Distribution - Switches of Play Acc (%),96.0
South Africa,Distribution - Switches of Play Acc (%),85.0
Spain,Distribution - Switches of Play Acc (%),95.0
Sweden,Distribution - Switches of Play Acc (%),85.0
Switzerland,Distribution - Switches of Play Acc (%),90.0
Tunisia,Distribution - Switches of Play Acc (%),71.0
Türkiye,Distribution - Switches of Play Acc (%),73.0
USA,Distribution - Switches of Play Acc (%),81.0
Uruguay,Distribution - Switches of Play Acc (%),95.0
Uzbekistan,Distribution - Switches of Play Acc (%),76.0
Algeria,Distribution - Switches of Play Attempted,19.0
Argentina,Distribution - Switches of Play Attempted,13.0
Australia,Distribution - Switches of Play Attempted,16.0
Austria,Distribution - Switches of Play Attempted,5.0
Belgium,Distribution - Switches of Play Attempted,14.0
Bosnia and Herzegovina,Distribution - Switches of Play Attempted,10.0
Brazil,Distribution - Switches of Play Attempted,18.0
Cabo Verde,Distribution - Switches of Play Attempted,17.0
Canada,Distribution - Switches of Play Attempted,16.0
Colombia,Distribution - Switches of Play Attempted,32.0
Congo DR,Distribution - Switches of Play Attempted,14.0
Croatia,Distribution - Switches of Play Attempted,17.0
Curaçao,Distribution - Switches of Play Attempted,7.0
Czechia,Distribution - Switches of Play Attempted,12.0
Côte d'Ivoire,Distribution - Switches of Play Attempted,13.0
Ecuador,Distribution - Switches of Play Attempted,6.0
Egypt,Distribution - Switches of Play Attempted,23.0
England,Distribution - Switches of Play Attempted,16.0
France,Distribution - Switches of Play Attempted,23.0
Germany,Distribution - Switches of Play Attempted,14.0
Ghana,Distribution - Switches of Play Attempted,17.0
Haiti,Distribution - Switches of Play Attempted,13.0
IR Iran,Distribution - Switches of Play Attempted,14.0
Iraq,Distribution - Switches of Play Attempted,14.0
Japan,Distribution - Switches of Play Attempted,12.0
Jordan,Distribution - Switches of Play Attempted,11.0
Korea Republic,Distribution - Switches of Play Attempted,21.0
Mexico,Distribution - Switches of Play Attempted,15.0
Morocco,Distribution - Switches of Play Attempted,21.0
Netherlands,Distribution - Switches of Play Attempted,11.0
New Zealand,Distribution - Switches of Play Attempted,8.0
Norway,Distribution - Switches of Play Attempted,14.0
Panama,Distribution - Switches of Play Attempted,27.0
Paraguay,Distribution - Switches of Play Attempted,15.0
Portugal,Distribution - Switches of Play Attempted,25.0
Qatar,Distribution - Switches of Play Attempted,11.0
Saudi Arabia,Distribution - Switches of Play Attempted,12.0
Scotland,Distribution - Switches of Play Attempted,17.0
Senegal,Distribution - Switches of Play Attempted,23.0
South Africa,Distribution - Switches of Play Attempted,27.0
Spain,Distribution - Switches of Play Attempted,21.0
Sweden,Distribution - Switches of Play Attempted,13.0
Switzerland,Distribution - Switches of Play Attempted,21.0
Tunisia,Distribution - Switches of Play Attempted,21.0
Türkiye,Distribution - Switches of Play Attempted,30.0
USA,Distribution - Switches of Play Attempted,16.0
Uruguay,Distribution - Switches of Play Attempted,19.0
Uzbekistan,Distribution - Switches of Play Attempted,17.0
Algeria,Defending - Rank,12.0
Argentina,Defending - Rank,12.0
Australia,Defending - Rank,2.0
Austria,Defending - Rank,12.0
Belgium,Defending - Rank,12.0
Bosnia and Herzegovina,Defending - Rank,12.0
Brazil,Defending - Rank,12.0
Cabo Verde,Defending - Rank,12.0
Canada,Defending - Rank,12.0
Colombia,Defending - Rank,12.0
Congo DR,Defending - Rank,12.0
Croatia,Defending - Rank,12.0
Curaçao,Defending - Rank,12.0
Czechia,Defending - Rank,12.0
Côte d'Ivoire,Defending - Rank,12.0
Ecuador,Defending - Rank,12.0
Egypt,Defending - Rank,2.0
England,Defending - Rank,12.0
France,Defending - Rank,12.0
Germany,Defending - Rank,12.0
Ghana,Defending - Rank,12.0
Haiti,Defending - Rank,12.0
IR Iran,Defending - Rank,12.0
Iraq,Defending - Rank,2.0
Japan,Defending - Rank,12.0
Jordan,Defending - Rank,2.0
Korea Republic,Defending - Rank,12.0
Mexico,Defending - Rank,12.0
Morocco,Defending - Rank,2.0
Netherlands,Defending - Rank,12.0
New Zealand,Defending - Rank,12.0
Norway,Defending - Rank,12.0
Panama,Defending - Rank,12.0
Paraguay,Defending - Rank,2.0
Portugal,Defending - Rank,12.0
Qatar,Defending - Rank,1.0
Saudi Arabia,Defending - Rank,2.0
Scotland,Defending - Rank,12.0
Senegal,Defending - Rank,12.0
South Africa,Defending - Rank,12.0
Spain,Defending - Rank,12.0
Sweden,Defending - Rank,12.0
Switzerland,Defending - Rank,2.0
Tunisia,Defending - Rank,2.0
Türkiye,Defending - Rank,12.0
USA,Defending - Rank,12.0
Uruguay,Defending - Rank,12.0
Uzbekistan,Defending - Rank,2.0
Algeria,Defending - Ball Recovery Time (s),46.08
Argentina,Defending - Ball Recovery Time (s),48.34
Australia,Defending - Ball Recovery Time (s),52.57
Austria,Defending - Ball Recovery Time (s),63.15
Belgium,Defending - Ball Recovery Time (s),39.11
Bosnia and Herzegovina,Defending - Ball Recovery Time (s),44.99
Brazil,Defending - Ball Recovery Time (s),71.12
Cabo Verde,Defending - Ball Recovery Time (s),51.37
Canada,Defending - Ball Recovery Time (s),52.44
Colombia,Defending - Ball Recovery Time (s),41.46
Congo DR,Defending - Ball Recovery Time (s),62.71
Croatia,Defending - Ball Recovery Time (s),48.95
Curaçao,Defending - Ball Recovery Time (s),56.6
Czechia,Defending - Ball Recovery Time (s),56.67
Côte d'Ivoire,Defending - Ball Recovery Time (s),70.71
Ecuador,Defending - Ball Recovery Time (s),41.94
Egypt,Defending - Ball Recovery Time (s),43.68
England,Defending - Ball Recovery Time (s),34.66
France,Defending - Ball Recovery Time (s),61.43
Germany,Defending - Ball Recovery Time (s),49.48
Ghana,Defending - Ball Recovery Time (s),67.27
Haiti,Defending - Ball Recovery Time (s),49.18
IR Iran,Defending - Ball Recovery Time (s),47.85
Iraq,Defending - Ball Recovery Time (s),61.26
Japan,Defending - Ball Recovery Time (s),80.59
Jordan,Defending - Ball Recovery Time (s),68.21
Korea Republic,Defending - Ball Recovery Time (s),44.64
Mexico,Defending - Ball Recovery Time (s),43.94
Morocco,Defending - Ball Recovery Time (s),56.05
Netherlands,Defending - Ball Recovery Time (s),65.67
New Zealand,Defending - Ball Recovery Time (s),47.94
Norway,Defending - Ball Recovery Time (s),63.3
Panama,Defending - Ball Recovery Time (s),46.44
Paraguay,Defending - Ball Recovery Time (s),68.31
Portugal,Defending - Ball Recovery Time (s),49.01
Qatar,Defending - Ball Recovery Time (s),60.48
Saudi Arabia,Defending - Ball Recovery Time (s),53.18
Scotland,Defending - Ball Recovery Time (s),70.31
